baseline,domain,tasks,tasks_with_assistant_reference_actions,assistant_reference_actions,covered_assistant_reference_actions,assistant_reference_coverage_rate,exposed_tool_slots_total,extra_tool_slots_total,mean_exposed_tools_per_task,mean_extra_tools_per_task,mean_risk_score_per_task,write_tool_slots_total,discoverable_tool_slots_total
domain_assistant_all,airline,50,43,142,142,1.0,700,615,14.0,12.3,28.0,300,0
domain_assistant_all,banking_knowledge,97,90,825,825,1.0,6596,6336,68.0,65.31958762886597,158.0,4074,4656
domain_assistant_all,mock,10,8,8,8,1.0,40,32,4.0,3.2,9.0,20,0
domain_assistant_all,retail,114,112,550,550,1.0,1824,1443,16.0,12.657894736842104,32.0,798,0
domain_assistant_all,telecom,2285,1720,2288,2288,1.0,29705,27417,13.0,11.998687089715537,26.0,13710,0
domain_assistant_regular,airline,50,43,142,142,1.0,700,615,14.0,12.3,28.0,300,0
domain_assistant_regular,banking_knowledge,97,90,825,825,1.0,1940,1680,20.0,17.31958762886598,39.0,776,0
domain_assistant_regular,mock,10,8,8,8,1.0,40,32,4.0,3.2,9.0,20,0
domain_assistant_regular,retail,114,112,550,550,1.0,1824,1443,16.0,12.657894736842104,32.0,798,0
domain_assistant_regular,telecom,2285,1720,2288,2288,1.0,29705,27417,13.0,11.998687089715537,26.0,13710,0
global_all_tools,airline,50,43,142,142,1.0,7600,7515,152.0,150.3,332.0,4200,2400
global_all_tools,banking_knowledge,97,90,825,825,1.0,14744,14484,152.0,149.31958762886597,332.0,8148,4656
global_all_tools,mock,10,8,8,8,1.0,1520,1512,152.0,151.2,332.0,840,480
global_all_tools,retail,114,112,550,550,1.0,17328,16947,152.0,148.6578947368421,332.0,9576,5472
global_all_tools,telecom,2285,1720,2288,2288,1.0,347320,345032,152.0,150.99868708971553,332.0,191940,109680
global_assistant_regular,airline,50,43,142,142,1.0,3350,3265,67.0,65.3,134.0,1450,0
global_assistant_regular,banking_knowledge,97,90,825,825,1.0,6499,6239,67.0,64.31958762886597,134.0,2813,0
global_assistant_regular,mock,10,8,8,8,1.0,670,662,67.0,66.2,134.0,290,0
global_assistant_regular,retail,114,112,550,550,1.0,7638,7257,67.0,63.6578947368421,134.0,3306,0
global_assistant_regular,telecom,2285,1720,2288,2288,1.0,153095,150807,67.0,65.99868708971553,134.0,66265,0
intentcap_reference_events,airline,50,43,142,142,1.0,142,0,2.84,0.0,4.84,49,0
intentcap_reference_events,banking_knowledge,97,90,825,825,1.0,825,0,8.505154639175258,0.0,22.20618556701031,510,0
intentcap_reference_events,mock,10,8,8,8,1.0,8,0,0.8,0.0,2.3,7,0
intentcap_reference_events,retail,114,112,550,550,1.0,550,0,4.824561403508772,0.0,8.06140350877193,176,0
intentcap_reference_events,telecom,2285,1720,2288,2288,1.0,2288,0,1.0013129102844638,0.0,2.9899343544857766,2256,0
task_reference_tools,airline,50,43,142,142,1.0,85,0,1.7,0.0,3.18,36,0
task_reference_tools,banking_knowledge,97,90,825,825,1.0,260,0,2.6804123711340204,0.0,6.855670103092783,151,0
task_reference_tools,mock,10,8,8,8,1.0,8,0,0.8,0.0,2.3,7,0
task_reference_tools,retail,114,112,550,550,1.0,381,0,3.3421052631578947,0.0,6.0,144,0
task_reference_tools,telecom,2285,1720,2288,2288,1.0,2288,0,1.0013129102844638,0.0,2.9899343544857766,2256,0
